initial prompts	generated prompts	removing those which don't make sense
People usually keep right when driving in China.	Normally when driving in China, people stick to the right.	Normally when driving in China, people stick to the right hand side.
People usually keep right when driving in China.	People normally follow the rules when driving in China.	When driving in China, people stick to the right hand side.
People usually keep right when driving in China.	People normally follow the rules when they drive in China.	People usually drive by sticking to the right hand side in China.
People usually keep right when driving in China.	Normally when driving in China, people stick to the law.	People stick to the right hand side when driving in China.
The driver seat of a car is in the left side in China.	The driver's seat of a car is on the left hand side in China.	The driver's seat of a car is on the left hand side in China.
The driver seat of a car is in the left side in China.	In China, the driver's seat of a car is located on the left.	In China, the driver's seat of a car is located on the left.
The driver seat of a car is in the left side in China.	The driver's seat of a car is on the left in China.	The driver's seat of a car is on the left in China.
The driver seat of a car is in the left side in China.	The driver's seat of a car is located on the left in China.	The driver's seat of a car is located on the left in China.
The unit of measuring height is meter in China.	The unit of measurement for height is meter in China.	The unit of measurement for height is meter in China.
The unit of measuring height is meter in China.	The unit of height is meter in China.	The unit of height is meter in China.
The unit of measuring height is meter in China.	The unit of measurement for height in China is meter.	The unit of measurement for height in China is meter.
The unit of measuring height is meter in China.	The unit of measure for height is meter in China.	The unit of height in China is meter.
The unit of measuring weight is kilogram in China.	The unit of measurement of weight in China is kilogram.	The unit of measurement of weight in China is kilogram.
The unit of measuring weight is kilogram in China.	The unit of measurement for weight in China is kilogram.	The unit of measurement for weight in China is kilogram.
The unit of measuring weight is kilogram in China.	The unit of weight in China is kilogram.	The unit of weight in China is kilogram.
The unit of measuring weight is kilogram in China.	In China, the unit of weight is the kilogram.	In China, the unit of weight is the kilogram.
The unit of measuring temperature is Celsius in China.	The temperature measurement unit in China is Celsius.	The temperature measurement unit in China is Celsius.
The unit of measuring temperature is Celsius in China.	The unit for measuring temperature in China is centigrade.	The unit for measuring temperature in China is Celsius.
The unit of measuring temperature is Celsius in China.	The measuring unit for temperature in China is Celsius.	The measuring unit for temperature in China is Celsius.
The unit of measuring temperature is Celsius in China.	The measuring unit for the temperature is Celsius in China.	The measuring unit for the temperature is Celsius in China.
In China, month appears after year in the date format.	In China, the date format appears month after month.	The month after the year appears in Chinese date format.
In China, month appears after year in the date format.	In China, it appears month after month in date format.	In China month after year appears in date format.
In China, month appears after year in the date format.	In China, it appears month by month in date format.	In China the month after the year appears in date format.
In China, month appears after year in the date format.	In China, the date format is published month by month.	Month appears after year in Chinese date format.
In China, year appears before month in the date format.	In China the year before the month appears in date format.	The year before the month appears in Chinese date format.
In China, year appears before month in the date format.	In China, the year before the month is published in date format.	In China year before month appears in date format.
In China, year appears before month in the date format.	In China, it appears in date format year before month.	In China the year before the month appears in date format.
In China, year appears before month in the date format.	In China, it is published year after month in date format.	Year appears before month in Chinese date format.
In China, it is rare that customers will pay tips after the meal.	In China it is rare for customers to tip after a meal.	In China it is rare for customers to tip after a meal.
In China, it is rare that customers will pay tips after the meal.	In China, it is rare for customers to tip after a meal.	In China it is rare for customers to pay tips after a meal.
In China, it is rare that customers will pay tips after the meal.	In China, it is rare for customers to pay tips after eating.	In China, it is rare for customers to pay tips after eating.
In China, it is rare that customers will pay tips after the meal.	In China it is rare for customers to tip after eating.	In China it is rare for customers to tip after eating.
Chinese people usually take shower in the evening.	The Chinese usually take a shower in the evenings.	The Chinese usually take a shower in the evenings.
Chinese people usually take shower in the evening.	Chinese people normally shower in the evening.	Chinese people normally shower in the evening.
Chinese people usually take shower in the evening.	Chinese people usually shower in the evening.	Chinese people usually shower in the evening.
Chinese people usually take shower in the evening.	The Chinese usually take a shower in the evening.	The Chinese usually take a shower in the evening.
Chinese people dry their wet cloths in the sun.	Chinese are drying their wet towels in the sun.	Normally, Chinese dry their wet cloths in the sun.
Chinese people dry their wet cloths in the sun.	The Chinese are drying their wet cloths in the sun.	The Chinese dry their wet cloths in the sun.
Chinese people dry their wet cloths in the sun.	The Chinese people dry their wet clothes in the sun.	The Chinese people dry their wet clothes in the sun.
Chinese people dry their wet cloths in the sun.	The Chinese people are drying their wet clothes in the sun.	Chinese people usually dry their wet clothes in the sun.
In China, it is common that people use broom to clean the floor.	In China, it is common for people to clean the floor with brooms.	In China, it is common for people to clean the floor with brooms.
In China, it is common that people use broom to clean the floor.	In China it is common for people to clean the floor with brooms.	In China, it is common to use brooms to clean the floor.
In China, it is common that people use broom to clean the floor.	In China it is common for people to use brooms to clean the floor.	In China it is common for people to use brooms to clean the floor.
In China, it is common that people use broom to clean the floor.	It is common in China for people to clean the floor with brooms.	It is common in China for people to clean the floor with brooms.
The staple food in China is rice.	The staple in China is rice.	The staple food in China is rice.
The staple food in China is rice.	Rice is China's staple food.	Rice is China's staple food.
The staple food in China is rice.	The main food in China is rice.	The main food in China is rice.
The staple food in China is rice.	The main staple food in China is rice.	The main staple food in China is rice.
Chinese people usually eat food with chopsticks.	The Chinese normally eat food with chopsticks.	The Chinese normally eat food with chopsticks.
Chinese people usually eat food with chopsticks.	The Chinese usually eat food with chopsticks.	The Chinese usually eat food with chopsticks.
Chinese people usually eat food with chopsticks.	Chinese usually eat food with chopsticks.	Chinese usually eat food with chopsticks.
Chinese people usually eat food with chopsticks.	The Chinese usually eat with sticks.	In China, people usually eat food with chopsticks.
In China, it is common for people to share their food when they eat out.	In China, it is common for people to share food when they go out to eat.	In China, it is common for people to share food when they go out to eat.
In China, it is common for people to share their food when they eat out.	In China, it is common for people to share their food when they go to eat.	In China, it is common for people to share their food when they go to eat.
In China, it is common for people to share their food when they eat out.	In China it is common for people to share food when they go out.	In China it is common for people to share food when they go out.
In China, it is common for people to share their food when they eat out.	In China, it is customary for people to share food when they go out.	In China, it is customary for people to share food when they go out.
In China, it is common to see people drink hot water.	In China it is common to see people drinking hot water.	In China, it is common to see that people drink hot water.
In China, it is common to see people drink hot water.	In China, it is common to see people drink hot water.	In China, it is common to see people drink hot water.
In China, it is common to see people drink hot water.	In China, it's common for people to drink hot water.	In China, it's common for people to drink hot water.
In China, it is common to see people drink hot water.	In China, it is common for people to drink hot water.	In China, it is common for people to drink hot water.
In China, it is common that adults live with their parents.	It is common in China for adults to live with their parents.	It is common in China for adults to live with their parents.
In China, it is common that adults live with their parents.	In China, it is common for adults to live together with their parents.	In China, it is common for adults to live together with their parents.
In China, it is common that adults live with their parents.	In China it is common for adults to live with their parents.	In China it is common for adults to live with their parents.
In China, it is common that adults live with their parents.	In China, it is common for adults to stay with their parents.	In China, it is common for adults to stay with their parents.
The most popular sports in China is table tennis.	The most popular sport in China is ping-pong.	The most popular sport in China is table tennis.
The most popular sports in China is table tennis.	China's most popular sport is table tennis.	China's most popular sport is table tennis.
The most popular sports in China is table tennis.	Table tennis is China's most popular sport.	Table tennis is China's most popular sport.
The most popular sports in China is table tennis.	The most popular sport in China is table tennis.	The most popular sport in China is table tennis.
In China, the most popular mode of transportation in big cities 30 years ago was bicycle.	In China 30 years ago, the bicycle was the most popular means of transportation in major cities.	In China 30 years ago, the bicycle was the most popular means of transportation in major cities.
In China, the most popular mode of transportation in big cities 30 years ago was bicycle.	In China 30 years ago, the bicycle was the most popular means of transport in the big cities.	In China 30 years ago, the bicycle was the most popular means of transport in the big cities.
In China, the most popular mode of transportation in big cities 30 years ago was bicycle.	In China 30 years ago, the bicycle was the most popular means of transportation in the big cities.	In China 30 years ago, the bicycle was the most popular means of transportation in the big cities.
In China, the most popular mode of transportation in big cities 30 years ago was bicycle.	In China 30 years ago, the bicycle was the most popular means of transport in large cities.	In China 30 years ago, the bicycle was the most popular means of transport in large cities.
It is rare to have household servants in China.	It is rare for China to have domestic help.	It is rare in China to have domestic help.
It is rare to have household servants in China.	It is rare for domestic workers to work in China.	It is rare to see household servants in China.
It is rare to have household servants in China.	It is rare for domestic assistance to be available in China.	It is rare to have domestic help in China.
It is rare to have household servants in China.	Domestic servants are rare in China.	Domestic servants are rare in China.
Most part of China is in temperate zone.	Most of China is located in temperate areas.	Most of China is located in temperate areas.
Most part of China is in temperate zone.	Most of China is in temperate zones.	Most of China is in temperate zones.
Most part of China is in temperate zone.	Most of China lies in a temperate zone.	Most of China lies in a temperate zone.
Most part of China is in temperate zone.	Most of China is in temperate areas.	Most of China is in temperate areas.
The rising stock price will be represented by color red in China.	In China, the rising share price will be represented by the colour red.	In China, the rising share price will be represented by the color red.
The rising stock price will be represented by color red in China.	The rising share price will be represented in China by the colour red.	The rising share price will be represented in China by the color red.
The rising stock price will be represented by color red in China.	The rising share price is represented in China by the colour red.	The rising share price is represented in China by the color red.
The rising stock price will be represented by color red in China.	The increasing share price is represented by the colour red in China.	The increasing share price is represented by the color red in China.
The dropping stock price will be represented by color green in China.	The falling share price is represented in China by the colour green.	The falling share price is represented in China by the color green.
The dropping stock price will be represented by color green in China.	The falling share price in China will be represented by the colour green.	The falling share price in China will be represented by the color green.
The dropping stock price will be represented by color green in China.	The falling share price is represented by the colour green in China.	The falling share price is represented by the color green in China.
The dropping stock price will be represented by color green in China.	In China, the declining share price is represented by the colour green.	In China, the declining share price is represented by the color green.
