english prompts	persian promps	persian promps with mask	candidate answers
Normally when driving in China, people stick to the right hand side.	معمولا در زمان رانندگی در چین, افراد در سمت راست رانندگی می کنند. 	معمولا در زمان رانندگی در چین, افراد در سمت <mask> رانندگی می کنند. 	راست, چپ, وسط, هرجا
	در چین, افراد معمولا در سمت راست رانندگی می کنند در زمان رانندگی.	در چین, افراد معمولا در سمت <mask> رانندگی می کنند در زمان رانندگی.	راست, چپ, وسط, هرجا
	در چین, افراد معمولا در سمت راست رانندگی می کنند در هنگام رانندگی.	در چین, افراد معمولا در سمت <mask> رانندگی می کنند در هنگام رانندگی.	راست, چپ, وسط, هرجا
	در چین, افراد به صورت کلی در سمت راست رانندگی می کنند در زمان رانندگی.	در چین, افراد به صورت کلی در سمت <mask> رانندگی می کنند در زمان رانندگی.	راست, چپ, وسط, هرجا
The driver's seat of a car is on the left hand side in China.	صندلی ماشین راننده رد سمت چپ ماشین قرار دارد در چین.	صندلی ماشین راننده رد سمت <mask> ماشین قرار دارد در چین.	راست, چپ, جلو, عقب
In China, the driver's seat of a car is located on the left.	در چین, صندلی راننده ماشن قرار دارد در سمت چپ.	در چین, صندلی راننده ماشن قرار دارد در سمت <mask>.	راست, چپ, جلو, عقب
The driver's seat of a car is on the left in China.	صندلی راننده ماشین در سمت چپ هست در چین.	صندلی راننده ماشین در سمت <mask> هست در چین.	راست, چپ, جلو, عقب
The driver's seat of a car is located on the left in China.	صندلی ماشین راننده قرار دارد در سمت چپ در چین.	صندلی ماشین راننده قرار دارد در سمت <mask> در چین.	راست, چپ, جلو, عقب
The unit of measurement for height is meters in China.	واحد اندازه گیری برای ارتفاع هست متر در چین.	واحد اندازه گیری برای ارتفاع هست <mask> در چین.	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل
The unit of height is meters in China.	واحد ارتفاع هست متر در چین.	واحد ارتفاع هست <mask> در چین.	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل
The unit of measurement for height in China is meters.	واحد اندازه گیری برای ارتفاع در چین هست متر.	واحد اندازه گیری برای ارتفاع در چین هست <mask>.	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل
	در چین, واحد اندازه گیری ارتفاع متر است.	در چین, واحد اندازه گیری ارتفاع <mask> است.	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل
The unit of measurement of weight in China is kilograms.	واحد اندازه گیری وزن در چین هست کیلوگرم.	واحد اندازه گیری وزن در چین هست <mask>.	اونس, پوند, میلی گرم, گرم, کیلوگرم
The unit of measurement for weight in China is kilograms.	واحد اندازه گیری برای وزن در چین هست کیلوگرم.	واحد اندازه گیری برای وزن در چین هست <mask>.	اونس, پوند, میلی گرم, گرم, کیلوگرم
The unit of weight in China is kilogram.	واحد وزن در چین هست کیلوگرم.	واحد وزن در چین هست <mask>.	اونس, پوند, میلی گرم, گرم, کیلوگرم
In China, the unit of weight is the kilogram.	در چین, واحد وزن هست کیلوگرم.	در چین, واحد وزن هست <mask>.	اونس, پوند, میلی گرم, گرم, کیلوگرم
The temperature measurement unit in China is Celsius.	واحد اندازه گیری دما در چین هست سلسیوس.	واحد اندازه گیری دما در چین هست <mask>.	فارنهایت, سلسیوس, رانکین
The unit for measuring temperature in China is Celsius.	واحد برای اندازه گیری کردن دما در چین هست سلسیوس.	واحد برای اندازه گیری کردن دما در چین هست <mask>.	فارنهایت, سلسیوس, رانکین
The measuring unit for temperature in China is Celsius.	واحد اندازه گیری کردن برای دما در چین هست سلسیوس.	واحد اندازه گیری کردن برای دما در چین هست <mask>.	فارنهایت, سلسیوس, رانکین
The measuring unit for the temperature is Celsius in China.	واحد اندازه گیری کردن برای دما هست سلسیوس در چین.	واحد اندازه گیری کردن برای دما هست <mask> در چین.	فارنهایت, سلسیوس, رانکین
	 در چین, واحد اندازه گیری کردن برای دما هست سلسیوس.	 در چین, واحد اندازه گیری کردن برای دما هست <mask>.	فارنهایت, سلسیوس, رانکین
	در چین سال قبل از ماه میاد در فرمت تاریخ.	در چین سال <mask> از ماه میاد در فرمت تاریخ.	قبل, بعد, زیر, بالا
	در چین, سال قبل از ماه میاد در فرمت تاریخ.	در چین, سال <mask> از ماه میاد در فرمت تاریخ.	قبل, بعد, زیر, بالا
	در چین ماه بعد از سال میاد در فرمت تاریخ.	در چین ماه <mask> از سال میاد در فرمت تاریخ.	قبل, بعد, زیر, بالا
In China the year before the month appears in date format.	 در فرمت تاریخ در چین سال قبل از ماه میاد.	 در فرمت تاریخ در چین سال <mask> از ماه میاد.	قبل, بعد, زیر, بالا
	در چین, ماه بعد از سال میاد در فرمت تاریخ.	در چین, ماه <mask> از سال میاد در فرمت تاریخ.	قبل, بعد, زیر, بالا
	در چین فرمت تاریخ سال قبل از ماه میاد.	در چین فرمت تاریخ سال <mask> از ماه میاد.	قبل, بعد, زیر, بالا
	در چین, فرمت تاریخ سال قبل از ماه میاد.	در چین, فرمت تاریخ سال <mask> از ماه میاد.	قبل, بعد, زیر, بالا
In China it is rare for customers to tip after a meal.	در چین این هست نادر که مشتری ها انعام بدهند بعد از غذا.	در چین این هست <mask> که مشتری ها انعام بدهند بعد از غذا.	رایج, نادر
	در چین این هست نادر که مشتری ها بعد زا غذا انعام بدهند.	در چین این هست <mask> که مشتری ها بعد زا غذا انعام بدهند.	رایج, نادر
In China, it is rare for customers to pay tips after eating.	در چین این هست نادر که برای مشتری ها که انعام پرداخت کنند بعد از خوردن غذا.	در چین این هست <mask> که برای مشتری ها که انعام پرداخت کنند بعد از خوردن غذا.	رایج, نادر
In China it is rare for customers to tip after eating.	در چین این هست نادر که برای مشتری ها که انعام پرداخت کنند بعد از خوردن غذا.	در چین این هست <mask> که برای مشتری ها که انعام پرداخت کنند بعد از خوردن غذا.	رایج, نادر
The Chinese usually take a shower in the evenings.	چینی ها معمولا بعد از ظهر دوش می گیرند.	چینی ها معمولا <mask> دوش می گیرند.	صبح, ظهر, بعد از ظهر, عصر
Chinese people normally shower in the evening.	افراد چینی به صورت نرمال دوش می گیرند در بعد از ظهر.	افراد چینی به صورت نرمال دوش می گیرند در <mask>.	صبح, ظهر, بعد از ظهر, عصر
Chinese people usually shower in the evening.	افراد چینی معمولا دوش می گیرند در بعد از ظهر.	افراد چینی معمولا دوش می گیرند در <mask>.	صبح, ظهر, بعد از ظهر, عصر
The Chinese usually take a shower in the evening.	چینی ها معمولا دوش می گیرند در بعد از ظهر. 	چینی ها معمولا دوش می گیرند در <mask>. 	صبح, ظهر, بعد از ظهر, عصر
	چینی ها به صورت کلی بعد از ظهر دوش می گیرند.	چینی ها به صورت کلی <mask> دوش می گیرند.	صبح, ظهر, بعد از ظهر, عصر
