Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
在美国，人们一般会靠<mask>行驶。	在美国，人们一般会靠哪侧行驶？	右	右, 左, 中间, 其他	keep left/right	右	T
在中国，人们一般会靠<mask>行驶。	在中国，人们一般会靠哪侧行驶？	右	右, 左, 中间, 其他	keep left/right	左	F
在印度，人们一般会靠<mask>行驶。	在印度，人们一般会靠哪侧行驶？	左	右, 左, 中间, 其他	keep left/right	左	T
在伊朗，人们一般会靠<mask>行驶。	在伊朗，人们一般会靠哪侧行驶？	右	右, 左, 中间, 其他	keep left/right	左	F
在肯尼亚，人们一般会靠<mask>行驶。	在肯尼亚，人们一般会靠哪侧行驶？	左	右, 左, 中间, 其他	keep left/right	右	F
						
在美国，车中的驾驶座一般会在<mask>边。	在美国，车中的驾驶座一般会在哪侧？	左	右, 左, 前, 后	driver seat	右	F
在中国，车中的驾驶座一般会在<mask>边。	在中国，车中的驾驶座一般会在哪侧？	左	右, 左, 前, 后	driver seat	左	T
在印度，车中的驾驶座一般会在<mask>边。	在印度，车中的驾驶座一般会在哪侧？	右	右, 左, 前, 后	driver seat	左	F
在伊朗，车中的驾驶座一般会在<mask>边。	在伊朗，车中的驾驶座一般会在哪侧？	左	右, 左, 前, 后	driver seat	左	T
在肯尼亚，车中的驾驶座一般会在<mask>边。	在肯尼亚，车中的驾驶座一般会在哪侧？	右	右, 左, 前, 后	driver seat	左	F
						
在美国，人们一般会用单位<mask>测量人的身高。	在美国，测量人的身高的单位是？	英尺, 英寸	英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米	measurement unit	英尺	1/2
在中国，人们一般会用单位<mask>测量人的身高。	在中国，测量人的身高的单位是？	米, 厘米	英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米	measurement unit	米	1/2
在印度，人们一般会用单位<mask>测量人的身高。	在印度，测量人的身高的单位是？	英尺, 英寸, 米, 厘米	英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米	measurement unit	米	1/4
在伊朗，人们一般会用单位<mask>测量人的身高。	在伊朗，测量人的身高的单位是？	米, 厘米	英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米	measurement unit	米	1/2
在肯尼亚，人们一般会用单位<mask>测量人的身高。	在肯尼亚，测量人的身高的单位是？	英尺, 英寸, 米, 厘米	英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米	measurement unit	米	1/4
						
在美国，一般会用单位<mask>测量人的体重。	在美国，测量人的体重的单位是？	磅	盎司, 磅, 毫克, 克, 公斤	measurement unit	磅	T
在中国，一般会用单位<mask>测量人的体重。	在中国，测量人的体重的单位是？	公斤	盎司, 磅, 毫克, 克, 公斤	measurement unit	公斤	T
在印度，一般会用单位<mask>测量人的体重。	在印度，测量人的体重的单位是？	公斤	盎司, 磅, 毫克, 克, 公斤	measurement unit	公斤	T
在伊朗，一般会用单位<mask>测量人的体重。	在伊朗，测量人的体重的单位是？	公斤	盎司, 磅, 毫克, 克, 公斤	measurement unit	公斤	T
在肯尼亚，一般会用单位<mask>测量人的体重。	在肯尼亚，测量人的体重的单位是？	公斤	盎司, 磅, 毫克, 克, 公斤	measurement unit	公斤	T
						
在美国一般会用<mask>单位测量温度。	在美国，测量温度的单位是？	华氏	华氏, 摄氏, 兰氏	measurement unit	摄氏度	F
在中国一般会用<mask>单位测量温度。	在中国，测量温度的单位是？	摄氏	华氏, 摄氏, 兰氏	measurement unit	摄氏度	T
在印度一般会用<mask>单位测量温度。	在印度，测量温度的单位是？	摄氏	华氏, 摄氏, 兰氏	measurement unit	摄氏度	T
在伊朗一般会用<mask>单位测量温度。	在伊朗，测量温度的单位是？	摄氏	华氏, 摄氏, 兰氏	measurement unit	摄氏度	T
在肯尼亚一般会用<mask>单位测量温度。	在肯尼亚，测量温度的单位是？	摄氏	华氏, 摄氏, 兰氏	measurement unit	摄氏度	T
						
美国的日期记法中会将月份放在年份的<mask>。	美国的日期记法中月份是放在年份的前面还是后面？	前面	前面, 后面, 下面, 上面	measurement unit	后面	F
中国的日期记法中会将月份放在年份的<mask>。	中国的日期记法中月份是放在年份的前面还是后面？	后面	前面, 后面, 下面, 上面	measurement unit	前面	F
印度的日期记法中会将月份放在年份的<mask>。	印度的日期记法中月份是放在年份的前面还是后面？	前面	前面, 后面, 下面, 上面	measurement unit	后面	F
伊朗的日期记法中会将月份放在年份的<mask>。	伊朗的日期记法中月份是放在年份的前面还是后面？	前面	前面, 后面, 下面, 上面	measurement unit	后面	F
肯尼亚的日期记法中会将月份放在年份的<mask>。	肯尼亚的日期记法中月份是放在年份的前面还是后面？	前面	前面, 后面, 下面, 上面	measurement unit	后面	F
						
美国的日期记法中会将年份放在月份的<mask>。	美国的日期记法中年份是放在月份的前面还是后面？	后面	前面, 后面, 下面, 上面	measurement unit	前面	F
中国的日期记法中会将年份放在月份的<mask>。	中国的日期记法中年份是放在月份的前面还是后面？	前面	前面, 后面, 下面, 上面	measurement unit	后面	F
印度的日期记法中会将年份放在月份的<mask>。	印度的日期记法中年份是放在月份的前面还是后面？	后面	前面, 后面, 下面, 上面	measurement unit	后面	T
伊朗的日期记法中会将年份放在月份的<mask>。	伊朗的日期记法中年份是放在月份的前面还是后面？	后面	前面, 后面, 下面, 上面	measurement unit	后面	T
肯尼亚的日期记法中会将年份放在月份的<mask>。	肯尼亚的日期记法中年份是放在月份的前面还是后面？	后面	前面, 后面, 下面, 上面	measurement unit	前面	F
						
在美国，<mask>能看到顾客餐后付小费。	在美国，顾客餐后付小费是否常见？	经常	偶尔, 经常	payment	常见	T
在中国，<mask>能看到顾客餐后付小费。	在中国，顾客餐后付小费是否常见？	偶尔	偶尔, 经常	payment	常见	F
在印度，<mask>能看到顾客餐后付小费。	在印度，顾客餐后付小费是否常见？	偶尔	偶尔, 经常	payment	常见	F
在伊朗，<mask>能看到顾客餐后付小费。	在伊朗，顾客餐后付小费是否常见？	偶尔	偶尔, 经常	payment	常见	F
在肯尼亚，<mask>能看到顾客餐后付小费。	在肯尼亚，顾客餐后付小费是否常见？	偶尔	偶尔, 经常	payment	常见	F
						
美国人一般会在<mask>洗澡。	美国人一般都在什么时候洗澡？	早上	早上, 中午, 下午, 晚上	shower time	晚上	F
中国人一般会在<mask>洗澡。	中国人一般都在什么时候洗澡？	晚上	早上, 中午, 下午, 晚上	shower time	晚上	T
印度人一般会在<mask>洗澡。	印度人一般都在什么时候洗澡？	早上	早上, 中午, 下午, 晚上	shower time	晚上	F
伊朗人一般会在<mask>洗澡。	伊朗人一般都在什么时候洗澡？	早上	早上, 中午, 下午, 晚上	shower time	晚上	F
肯尼亚人一般会在<mask>洗澡。	肯尼亚人一般都在什么时候洗澡？	早上	早上, 中午, 下午, 晚上	shower time	傍晚	F
						
美国人一般用<mask>烘干衣服。	美国人是如何晾晒衣物的？	机器	机器, 阳光	drying clothes	洗衣机	I
中国人一般用<mask>烘干衣服。	中国人是如何晾晒衣物的？	阳光	机器, 阳光	drying clothes	晾衣架	T
印度人一般用<mask>烘干衣服。	印度人是如何晾晒衣物的？	阳光	机器, 阳光	drying clothes	太阳	T
伊朗人一般用<mask>烘干衣服。	伊朗人是如何晾晒衣物的？	阳光	机器, 阳光	drying clothes	烘干机	F
肯尼亚人一般用<mask>烘干衣服。	肯尼亚人是如何晾晒衣物的？	阳光	机器, 阳光	drying clothes	烘干机	F
						
在美国，能<mask>看到人们用扫帚扫地。	在美国，人们用扫帚扫地是否常见？	经常	偶尔, 经常	broom usage	常见	T
在中国，能<mask>看到人们用扫帚扫地。	在中国，人们用扫帚扫地是否常见？	经常	偶尔, 经常	broom usage	常见	T
在印度，能<mask>看到人们用扫帚扫地。	在印度，人们用扫帚扫地是否常见？	经常	偶尔, 经常	broom usage	常见	T
在伊朗，能<mask>看到人们用扫帚扫地。	在伊朗，人们用扫帚扫地是否常见？	偶尔	偶尔, 经常	broom usage	常见	F
在肯尼亚，能<mask>看到人们用扫帚扫地。	在肯尼亚，人们用扫帚扫地是否常见？	经常	偶尔, 经常	broom usage	常见	T
						
美国人的主食是<mask>。	美国人的主食是什么？	面包	面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米	food and drink	面包	T
中国人的主食是<mask>。	中国人的主食是什么？	米饭, 面条	面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米	food and drink	米饭	1/2
印度人的主食是<mask>。	印度人的主食是什么？	米饭, 面包	面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米	food and drink	米饭	1/2
伊朗人的主食是<mask>。	伊朗人的主食是什么？	米饭, 面包	面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米	food and drink	米饭	1/2
肯尼亚人的主食是<mask>。	肯尼亚人的主食是什么？	蔬菜, 玉米	面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米	food and drink	土豆和面条	F
						
在美国，人们一般用<mask>吃东西。	在美国，人们一般用什么工具吃东西？	刀子, 叉子	刀子, 叉子, 勺子, 手, 筷子	food and drink	勺子	F
在中国，人们一般用<mask>吃东西。	在中国，人们一般用什么工具吃东西？	筷子	刀子, 叉子, 勺子, 手, 筷子	food and drink	筷子	T
在印度，人们一般用<mask>吃东西。	在印度，人们一般用什么工具吃东西？	勺子, 手	刀子, 叉子, 勺子, 手, 筷子	food and drink	筷子	F
在伊朗，人们一般用<mask>吃东西。	在伊朗，人们一般用什么工具吃东西？	勺子, 叉子	刀子, 叉子, 勺子, 手, 筷子	food and drink	筷子	F
在肯尼亚，人们一般用<mask>吃东西。	在肯尼亚，人们一般用什么工具吃东西？	勺子, 叉子	刀子, 叉子, 勺子, 手, 筷子	food and drink	餐刀和餐叉	F
						
在美国，能<mask>看到菜品同时有多人享用。	在美国，菜品同时有多人享用是否常见？	偶尔	偶尔, 经常	food and drink	单	T
在中国，能<mask>看到菜品同时有多人享用。	在中国，菜品同时有多人享用是否常见？	经常	偶尔, 经常	food and drink	多	T
在印度，能<mask>看到菜品同时有多人享用。	在印度，菜品同时有多人享用是否常见？	经常	偶尔, 经常	food and drink	单	F
在伊朗，能<mask>看到菜品同时有多人享用。	在伊朗，菜品同时有多人享用是否常见？	偶尔	偶尔, 经常	food and drink	单	T
在肯尼亚，能<mask>看到菜品同时有多人享用。	在肯尼亚，菜品同时有多人享用是否常见？	偶尔	偶尔, 经常	food and drink	常见	F
						
在美国，能<mask>看到人们喝热水。	在美国，喝热水是否常见？	偶尔	偶尔, 经常	food and drink	常见	F
在中国，能<mask>看到人们喝热水。	在中国，喝热水是否常见？	经常	偶尔, 经常	food and drink	常见	T
在印度，能<mask>看到人们喝热水。	在印度，喝热水是否常见？	偶尔	偶尔, 经常	food and drink	常见	F
在伊朗，能<mask>看到人们喝热水。	在伊朗，喝热水是否常见？	偶尔	偶尔, 经常	food and drink	常见	F
在肯尼亚，能<mask>看到人们喝热水。	在肯尼亚，喝热水是否常见？	偶尔	偶尔, 经常	food and drink	常见	F
						
在美国，<mask>能看到成年人和他们的父母住在一起。	在美国，成年人和他们的父母住在一起是否常见？	偶尔	偶尔, 经常	family	常见	F
在中国，<mask>能看到成年人和他们的父母住在一起。	在中国，成年人和他们的父母住在一起是否常见？	经常	偶尔, 经常	family	常见	T
在印度，<mask>能看到成年人和他们的父母住在一起。	在印度，成年人和他们的父母住在一起是否常见？	经常	偶尔, 经常	family	常见	T
在伊朗，<mask>能看到成年人和他们的父母住在一起。	在伊朗，成年人和他们的父母住在一起是否常见？	偶尔	偶尔, 经常	family	常见	F
在肯尼亚，<mask>能看到成年人和他们的父母住在一起。	在肯尼亚，成年人和他们的父母住在一起是否常见？	偶尔	偶尔, 经常	family	常见	F
						
在美国最受人们喜爱的运动是<mask>。	在美国最受人们喜爱的运动有什么？	橄榄球, 篮球, 棒球	橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径	sports	橄榄球和篮球	1/2
在中国最受人们喜爱的运动是<mask>。	在中国最受人们喜爱的运动有什么？	乒乓球, 羽毛球	橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径	sports	篮球和足球	F
在印度最受人们喜爱的运动是<mask>。	在印度最受人们喜爱的运动有什么？	板球, 羽毛球, 足球	橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径	sports	足球和排球	1/3
在伊朗最受人们喜爱的运动是<mask>。	在伊朗最受人们喜爱的运动有什么？	足球, 排球	橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径	sports	乒乓球和网球	F
在肯尼亚最受人们喜爱的运动是<mask>。	在肯尼亚最受人们喜爱的运动有什么？	足球, 田径	橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径	sports	足球和篮球	1/2
						
30年前，美国大城市中最流行的交通工具是<mask>。	30年前，美国大城市中最流行的交通工具是什么？	汽车	汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船	transportation	汽车	T
30年前，中国大城市中最流行的交通工具是<mask>。	30年前，中国大城市中最流行的交通工具是什么？	自行车	汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船	transportation	汽车	F
30年前，印度大城市中最流行的交通工具是<mask>。	30年前，印度大城市中最流行的交通工具是什么？	公交车, 火车	汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船	transportation	汽车	F
30年前，伊朗大城市中最流行的交通工具是<mask>。	30年前，伊朗大城市中最流行的交通工具是什么？	汽车	汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船	transportation	汽车	T
30年前，肯尼亚大城市中最流行的交通工具是<mask>。	30年前，肯尼亚大城市中最流行的交通工具是什么？	公交车, 汽车	汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船	transportation	汽车	1/2
						
在美国，<mask>能看到一个家庭中有仆人。	在美国，家庭中有仆人是否常见？	偶尔	偶尔, 经常	servant	常见	F
在中国，<mask>能看到一个家庭中有仆人。	在中国，家庭中有仆人是否常见？	偶尔	偶尔, 经常	servant	常见	T
在印度，<mask>能看到一个家庭中有仆人。	在印度，家庭中有仆人是否常见？	经常	偶尔, 经常	servant	常见	T
在伊朗，<mask>能看到一个家庭中有仆人。	在伊朗，家庭中有仆人是否常见？	偶尔	偶尔, 经常	servant	常见	F
