English Prompts	Hindi Prompts	Hindi Prompts with Mask	Options
Normally when driving in China, people stick to the right hand side.	आम तौर पर चीन में ड्राइविंग करते समय लोग दायें हाथ की तरफ चिपके रहते हैं।	आम तौर पर चीन में ड्राइविंग करते समय लोग <mask> हाथ की तरफ चिपके रहते हैं।	बाएं, दायें, मध्यम, कहीं भी
When driving in China, people stick to the right hand side.	चीन में ड्राइविंग करते समय लोग दायें हाथ की ओर चिपके रहते हैं।	चीन में ड्राइविंग करते समय लोग <mask> हाथ की ओर चिपके रहते हैं।	बाएं, दायें, मध्यम, कहीं भी
People usually drive by sticking to the right hand side in China.	लोग आमतौर पर चीन में दायें हाथ की तरफ चिपके हुए ड्राइव करते हैं।	लोग आमतौर पर चीन में <mask> हाथ की तरफ चिपके हुए ड्राइव करते हैं।	बाएं, दायें, मध्यम, कहीं भी
People stick to the right hand side when driving in China.	चीन में गाड़ी चलाते समय लोग दायें हाथ की ओर चिपके रहते हैं।	चीन में गाड़ी चलाते समय लोग <mask> हाथ की ओर चिपके रहते हैं।	बाएं, दायें, मध्यम, कहीं भी
The driver's seat of a car is on the left hand side in China.	एक कार की चालक की सीट चीन में बाएं ओर होती है।	एक कार की चालक की सीट चीन में <mask> ओर होती है।	बाएं, दायें, आगे, पीछे
In China, the driver's seat of a car is located on the left.	चीन में एक कार की चालक की सीट बाएं ओर स्थित होती है।	चीन में एक कार की चालक की सीट <mask> ओर स्थित होती है।	बाएं, दायें, आगे, पीछे
The driver's seat of a car is on the left in China.	एक कार की चालक की सीट चीन में बाएं ओर होती है।	एक कार की चालक की सीट चीन में <mask> ओर होती है।	बाएं, दायें, आगे, पीछे
The driver's seat of a car is located on the left in China.	एक कार की चालक की सीट चीन में बाएं ओर स्थित होती है।	एक कार की चालक की सीट चीन में <mask> ओर स्थित होती है।	बाएं, दायें, आगे, पीछे
The unit of measurement for height is meters in China.	ऊंचाई के लिए माप की इकाई चीन में मीटर है।	ऊंचाई के लिए माप की इकाई चीन में <mask> है।	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर
The unit of height is meters in China.	ऊंचाई की इकाई चीन में मीटर है।	ऊंचाई की इकाई चीन में <mask> है।	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर
The unit of measurement for height in China is meters.	चीन में ऊंचाई के लिए माप की इकाई मीटर है।	चीन में ऊंचाई के लिए माप की इकाई <mask> है।	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर
The unit of height in China is meters.	चीन में ऊंचाई की इकाई मीटर है।	चीन में ऊंचाई की इकाई <mask> है।	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर
The unit of measurement of weight in China is kilograms.	चीन में वजन के माप की इकाई किलोग्राम है।	चीन में वजन के माप की इकाई <mask> है।	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम
The unit of measurement for weight in China is kilograms.	चीन में वजन के लिए माप की इकाई किलोग्राम है।	चीन में वजन के लिए माप की इकाई <mask> है।	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम
The unit of weight in China is kilogram.	चीन में वजन की इकाई किलोग्राम है।	चीन में वजन की इकाई <mask> है।	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम
In China, the unit of weight is the kilogram.	चीन में वजन की इकाई किलोग्राम होती है।	चीन में वजन की इकाई <mask> होती है।	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम
The temperature measurement unit in China is Celsius.	चीन में तापमान माप की इकाई सेल्सियस है।	चीन में तापमान माप की इकाई <mask> है।	फ़ारेनहाइट, सेल्सीयस, रैंकिन
The unit for measuring temperature in China is Celsius.	चीन में तापमान मापने के लिए इकाई सेल्सियस है।	चीन में तापमान मापने के लिए इकाई <mask> है।	फ़ारेनहाइट, सेल्सीयस, रैंकिन
The measuring unit for temperature in China is Celsius.	चीन में तापमान के लिए मापने की इकाई सेल्सियस है।	चीन में तापमान के लिए मापने की इकाई <mask> है।	फ़ारेनहाइट, सेल्सीयस, रैंकिन
The measuring unit for the temperature is Celsius in China.	तापमान मापने की इकाई चीन में सेल्सियस है।	तापमान मापने की इकाई चीन में <mask> है।	फ़ारेनहाइट, सेल्सीयस, रैंकिन
The month after the year appears in Chinese date format.	महीना वर्ष के बाद चीनी तिथि प्रारूप में दिखाई देता है।	महीना वर्ष के <mask> चीनी तिथि प्रारूप में दिखाई देता है।	पहले, बाद, नीचे, ऊपर
In China month after year appears in date format.	महीना वर्ष के बाद चीन में दिनांक प्रारूप में दिखाई देता है।	महीना वर्ष के <mask> चीन में दिनांक प्रारूप में दिखाई देता है।	पहले, बाद, नीचे, ऊपर
In China the month after the year appears in date format.	चीन में वर्ष महीने के बाद दिनांक प्रारूप में दिखाई देता है।	चीन में वर्ष महीने के <mask> दिनांक प्रारूप में दिखाई देता है।	पहले, बाद, नीचे, ऊपर
Month appears after year in Chinese date format.	वर्ष के बाद चीनी तिथि प्रारूप में महीना होता है।	वर्ष के <mask> चीनी तिथि प्रारूप में महीना होता है।	पहले, बाद, नीचे, ऊपर
The year before the month appears in Chinese date format.	महीने से पहले वर्ष चीनी तिथि प्रारूप में दिखाई देता है।	महीने से <mask> वर्ष चीनी तिथि प्रारूप में दिखाई देता है।	पहले, बाद, नीचे, ऊपर
In China year before month appears in date format.	महीने से पहले चीन में दिनांक प्रारूप में वर्ष दिखाई देता है।	महीने से <mask> चीन में दिनांक प्रारूप में वर्ष दिखाई देता है।	पहले, बाद, नीचे, ऊपर
In China the year before the month appears in date format.	चीन में महीने से पहले दिनांक प्रारूप में वर्ष दिखाई देता है।	चीन में महीने से <mask> दिनांक प्रारूप में वर्ष दिखाई देता है।	पहले, बाद, नीचे, ऊपर
Year appears before month in Chinese date format.	महीना से पहले चीनी तिथि प्रारूप में वर्ष दिखाई देता है।	महीना से <mask> चीनी तिथि प्रारूप में वर्ष दिखाई देता है।	पहले, बाद, नीचे, ऊपर
In China it is rare for customers to tip after a meal.	चीन में भोजन के बाद ग्राहकों का बख्शीश करना दुर्लभ है।	चीन में भोजन के बाद ग्राहकों का बख्शीश करना <mask> है।	आम, दुर्लभ
In China it is rare for customers to pay tips after a meal.	चीन में भोजन के बाद बख्शीश देना ग्राहकों के लिए दुर्लभ है।	चीन में भोजन के बाद बख्शीश देना ग्राहकों के लिए <mask> है।	आम, दुर्लभ
In China, it is rare for customers to pay tips after eating.	चीन में खाने के बाद ग्राहकों के लिए बख्शीश देना दुर्लभ है।	चीन में खाने के बाद ग्राहकों के लिए बख्शीश देना <mask> है।	आम, दुर्लभ
In China it is rare for customers to tip after eating.	चीन में ग्राहकों के लिए खाने के बाद बख्शीश देना दुर्लभ है।	चीन में ग्राहकों के लिए खाने के बाद बख्शीश देना <mask> है।	आम, दुर्लभ
The Chinese usually take a shower in the evenings.	चीनी आमतौर पर शाम को एक शॉवर लेते हैं।	चीनी आमतौर पर <mask> को एक शॉवर लेते हैं।	सुबह, शाम, दोपहर, शाम
Chinese people normally shower in the evening.	चीनी लोग आम तौर पर शाम को स्नान करते हैं।	चीनी लोग आम तौर पर <mask> को स्नान करते हैं।	सुबह, शाम, दोपहर, शाम
Chinese people usually shower in the evening.	चीनी लोग आमतौर पर शाम को स्नान करते हैं।	चीनी लोग आमतौर पर <mask> को स्नान करते हैं।	सुबह, शाम, दोपहर, शाम
The Chinese usually take a shower in the evening.	चीनी आमतौर पर शाम को स्नान करते हैं।	चीनी आमतौर पर <mask> को स्नान करते हैं।	सुबह, शाम, दोपहर, शाम
