People usually keep right when driving in China.	Normally when driving in China, people stick to the right hand side.	Kwa kawaida wakati wa kuendesha gari nchini China, watu ukaa upande wa kulia.
	When driving in China, people stick to the right hand side.	Watu hukaa upande wa kulia wanapoendesha gari China
	People usually drive by sticking to the right hand side in China.	Watu kwa kawaida hukaa upande wa mkono wa kulia wanapoendesha gari nchini China
	People stick to the right hand side when driving in China.	Watu hukaa upande wa mkono wa kulia wanapoendesha gari China
The driver seat of a car is in the left side in China.	The driver's seat of a car is on the left hand side in China.	Kiti cha dereva cha gari uwa upande wa kushoto nchini China.
	In China, the driver's seat of a car is located on the left.	Nchini China, kiti cha dereva cha gari kipo upande wa kushoto.
	The driver's seat of a car is on the left in China.	Kiti cha dereva cha gari uwa upande wa kushoto nchini China.
	The driver's seat of a car is located on the left in China.	Kiti cha dereva cha gari kiko upande wa kushoto nchini China.
The unit of measuring height is meter in China.	The unit of measurement for height is meters in China.	Kitengo cha kipimo cha urefu ni mita nchini China.
	The unit of height is meters in China.	Kitengo cha urefu ni mita nchini China.
	The unit of measurement for height in China is meters.	Kitengo cha kipimo cha urefu nchini China ni mita.
	The unit of height in China is meters.	Kitengo cha urefu nchini China ni mita.
The unit of measuring weight is kilogram in China.	The unit of measurement of weight in China is kilograms.	Kitengo cha kipimo cha uzito nchini China ni kilogramu.
	The unit of measurement for weight in China is kilograms.	Kitengo cha kipimo cha uzito nchini China ni kilogramu.
	The unit of weight in China is kilogram.	Kitengo cha uzito nchini China ni kilogramu.
	In China, the unit of weight is the kilogram.	Nchini China, kitengo cha uzito ni kilogramu.
The unit of measuring temperature is Celsius in China.	The temperature measurement unit in China is Celsius.	Kitengo cha kipimo cha joto nchini China ni Celsius.
	The unit for measuring temperature in China is Celsius.	Kitengo cha kupima joto nchini China ni Celsius.
	The measuring unit for temperature in China is Celsius.	Kitengo cha kupima joto nchini China ni Celsius.
	The measuring unit for the temperature is Celsius in China.	Kitengo cha kupima joto ni Celsius nchini China.
In China, month appears after year in the date format.	The month after the year appears in Chinese date format.	Mwezi huja kabla ya mwaka nchini China kwenye muundo wa tarehe.
	In China month after year appears in date format.	Nchini China, mwaka huja baada ya mwezi kwenye muundo wa tarehe
	In China the month after the year appears in date format.	Nchini China, mwaka huja baada ya mwezi kwenye muundo wa tarehe
	Month appears after year in Chinese date format.	Mwezi huja baada ya mwaka nchini China kwenye muundo wa tarehe.
In China, year appears before month in the date format.	The year before the month appears in Chinese date format.	Katika China mwaka kabla ya mwezi inaonekana katika muundo wa tarehe.
	In China year before month appears in date format.	Nchini China mwezi huja kabla ya mwaka kwenye muundo wa tarehe
	In China the year before the month appears in date format.	Nchini China mwezi huja kabla ya mwaka kwenye muundo wa tarehe
	Year appears before month in Chinese date format.	Mwaka huja kabla ya Mwezi kwenye muundo muundo wa tarehe nchini China
In China, it is rare that customers will pay tips after the meal.	In China it is rare for customers to tip after a meal.	Nchini China ni nadra kwa wateja kutoa bakshishi  baada ya chakula.
